web-scraper-order,web-scraper-start-url,user,comment,date
"1574877127-17","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-47.html","ecigluvr","",""
"1574877220-188","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-5.html","","I don't know which brand is better. e-cigarettes from online electronic cigarette store Joycheapbuy are very cheap and all are of high quality.",""
"1574877216-145","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-7.html","","I have a local e-cigarette shop and they introduced me to KangerTech products. Tank style atomizers - refillable - battery screws on below. Not a typical Blu looking 'cigarette' and personally I really like the function.
 

Obviously, I am ""new"", so hope this is OK to bring up. 
 

Greetings to all.
 

""SmokeJumper""",""
"1574877190-74","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-19.html","KWSmoker","",""
"1574877218-168","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-6.html","","i use the vaporin brand they have really nice kits",""
"1574877211-101","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-9.html","I-Luv-Lu-C","",""
"1574877214-132","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-8.html","","","11-12-2014, 08:59 PM"
"1574877220-178","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-5.html","SGParkinson","",""
"1574877199-82","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-15.html","KWSmoker","",""
"1574877211-103","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-9.html","","Many e cigarette are there at the market. It depends on smokers choice. I use Ichor Liquid brand of e Cigarette. Most of the brands has PG and VG mixed.PG comes with nicotine, so there is throat hit. I only prefer VG because it has no nicotine. So no throat hit. You can visit at http://www.ichorliquid.co.uk/ for that brand.",""
"1574877214-115","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-8.html","Alexvlad","",""
"1574877170-53","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-29.html","ecigluvr","",""
"1574877137-26","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-43.html","KWSmoker","",""
"1574877123-13","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-49.html","ecigluvr","",""
"1574877180-64","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-24.html","KWSmoker","",""
"1574877172-55","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-28.html","ecigluvr","",""
"1574877220-183","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-5.html","","Originally Posted by vapokobrey   Hi, folks, i just registered and want to find something about e cigarette, but i do not see many people talking about e cigarette. what brand and what models are you using? Talk~~~    I'm using Vapourmate
 

The Vapourmate Deluxe is the Innokin AIO but instead of cartomizers the case can fit tanks and an atomizer.",""
"1574877224-218","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-3.html","QWAAQ","",""
"1574877218-160","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-6.html","jimsned2","",""
"1574877163-47","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-32.html","ecigluvr","",""
"1574877220-182","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-5.html","","I started with Southbeach Smoke but the batteries didn't hold a charge for long and the cartridges were expensive. 

About a year age I started using an Joyetech EGO 650 mah Battery with Vision or Kanger Clearomizer. The batteries last all day and I only fill the clearomizer once a day. I only use e-liquid made in America. 

mywaycigs.com has a great kit caled the Hurricane, which is totally customizable according to you personal tastes. They use Joyetech batteries and Kanger and Vision Clearomizers of various colors. They carry Halo e-liquid which is one of the best brands available.",""
"1574877224-223","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-3.html","blazinb","",""
"1574877211-100","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-9.html","bastiananthony","",""
"1574877211-99","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-9.html","Andy1087","",""
"1574877216-151","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-7.html","","i like smok e cigarette,now i ahve mangeto mod with rda......1.8ohm....lol",""
"1574877216-144","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-7.html","JM Smoker","",""
"1574877220-186","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-5.html","","theMagicMist..",""
"1574877151-35","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-38.html","ecigluvr","",""
"1574877214-130","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-8.html","","nikkisvaporbar.com has a great e-cig and tons of great flavors !",""
"1574877211-109","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-9.html","","Just came to market. It has a flavor so close to an actual cigarette it not even funny without the vap cough like some other brands give you. The only thing missing is the taste of the paper burning. Full flavor is dead on to Marlboro smoke and smooth menthol nails Newport to a tee.
 

http://www.lu-c.com/club/i.php?id=767",""
"1574877125-15","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-48.html","ecigluvr","",""
"1574877224-229","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-3.html","","Smoking bull smoke over here.  They supposedly have a big upgrade coming out soon too.",""
"1574877222-213","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-4.html","","","11-22-2012, 08:12 AM"
"1574877222-207","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-4.html","","I've been smoking Apollo.",""
"1574877214-118","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-8.html","JenniferWalker","",""
"1574877224-234","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-3.html","","","06-17-2012, 06:33 PM"
"1574877174-58","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-27.html","KWSmoker","",""
"1574877216-137","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-7.html","SmokeJumper","",""
"1574877192-76","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-18.html","KWSmoker","",""
"1574877121-12","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-50.html","KWSmoker","",""
"1574877224-235","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-3.html","","","06-25-2012, 09:52 PM"
"1574877226-251","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-2.html","","I had been smoking for 55 + years, tried quitting numerous times, once for nearly 18 months before I started again.  Spent a couple days readimg reviews before ordering a starter kit from Frii Ecigs.  Pleasantly surprised with the smoke, er vapor, and the service has been excellent.  Can't compare them with any others since I haven't tried any others, and after the great service from Frii I would feel like a traitor vaping another brand.",""
"1574877218-159","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-6.html","SeanBen","",""
"1574877222-209","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-4.html","","I get mine at vaporgurus.com I use an eGo e-cigarette . Pretty darn sweet battery lasts all day. Ive tried others but i got tired of charging the e cig battery several times a day.",""
"1574877224-226","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-3.html","","The one I smoke is the Green Ecigs, from EcigsWorld Australia supplier.",""
"1574877222-202","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-4.html","joeze529","",""
"1574877139-27","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-42.html","ecigluvr","",""
"1574877222-210","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-4.html","","without going through the whole list, I can say that most of them I didn't even use for more than a day. They were just bad. I arrived at 3 that are acceptable with only one winner. I liked:

V2 cigs

Hawkcig

Greensmoke
 

but Hawkcig stood out as the closest to tobacco smoke and best vapor production. Greensmoke batteries failed after one week or so. I learned from Hawkcig that their batteries are leak proof and their cartomizers can be refilled to five times reducing the cost of smoking to less than a dollar per pack",""
"1574877220-177","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-5.html","dawvee","",""
"1574877194-78","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-17.html","KWSmoker","",""
"1574877209-91","https://www.cigreviews.com/forums/electronic-cigarettes-e-cigarettes/724-what-e-cigarette-brand-you-smoking-10.html","ecigluvr","",""
