web-scraper-order,web-scraper-start-url,words
"1574912029-140442","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Zooping"
"1574912029-140360","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Han Li"
"1574912029-140429","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Vent holes"
"1574912029-140414","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Throat Kick/ Throat Hit"
"1574912029-140308","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Bottom Coil Clearomiser (BCC)"
"1574912029-140369","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","K"
"1574912029-140315","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Cartomiser"
"1574912029-140319","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Clearomiser"
"1574912029-140415","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","THR (Tobacco Harm Reduction)"
"1574912029-140376","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Mech Mod"
"1574912029-140425","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Vapers In Power"
"1574912029-140353","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Favour Cigarette"
"1574912029-140365","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","I"
"1574912029-140306","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Atty"
"1574912029-140332","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Direct to lung"
"1574912029-140331","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Dipping"
"1574912029-140358","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","G"
"1574912029-140352","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","F"
"1574912029-140389","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Pen-Style"
"1574912029-140328","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Disposable E-Cigarette"
"1574912029-140400","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Resistance"
"1574912029-140350","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","E-Pipe"
"1574912029-140302","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Analog Cigarette"
"1574912029-140418","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Topping"
"1574912029-140433","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","W"
