,web-scraper-order,web-scraper-start-url,links,links-href,user,comment,date
0,1574881363-15880,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Went To The Doctor,https://www.vaportalk.com/forum/topic/3757-went-to-the-doctor/,Vapor Talk God Poster,,
1,1574881348-15798,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Peculiar Throat Problem,https://www.vaportalk.com/forum/topic/4051-peculiar-throat-problem/,,"Thanks for all the input, and it's good to hear that it's not just me with the strange feeling in the throat.  I think that the problem probably does have a lot to do with the frequency of the hits.  When I smoked my last analog a week ago today, I timed just how long it actually took to finish it, just smoking casually and not trying to break any speed records.  I also counted the number of normal drags it took.  It took me seven minutes and ten drags to finish it.  Since I started direct dripping, I've found that two drops directly on the atty will last close to ten hits, so when I get that slightly burnt taste, I add two more drops and put the 510 down for a while.  I had been vaping so much that it was like chain smoking.  My throat is a little better now, but even if the problem persists, it still beats smoking analogs.     ....Pam",
2,1574881367-15970,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Headaches With 24Mg?,https://www.vaportalk.com/forum/topic/4368-headaches-with-24mg/,VT Member,,
3,1574881416-16371,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Migraines,https://www.vaportalk.com/forum/topic/4898-migraines/,,,"April 2, 2010"
4,1574881107-15234,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Lets Talk Seriously About Nicotine,https://www.vaportalk.com/forum/topic/1920-lets-talk-seriously-about-nicotine/,Contributing Vaper,,
5,1574881424-16459,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Pg And Vg,https://www.vaportalk.com/forum/topic/6357-pg-and-vg/,,,"August 7, 2010"
6,1574881424-16449,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Pg And Vg,https://www.vaportalk.com/forum/topic/6357-pg-and-vg/,,"Yes it sounds like it may be pg. Some people have a reaction to pg so if it keeps up that bottle may be pg by mistake.
And yes I coughed up a lot of crap at first...its your lungs trying to clear themselves out. It should get less as you go along.


And on another note....if you travel west on Sam furr up past the Blythe boat launch you'll see the sigh for the Mc Guire nuclear station on your right. It's right there on Lake Norman.",
7,1574881416-16338,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Migraines,https://www.vaportalk.com/forum/topic/4898-migraines/,VT Member,,
8,1574881378-16056,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,"Mouth Sores, Issues Resolved",https://www.vaportalk.com/forum/topic/4619-mouth-sores-issues-resolved/,The Veteran Vaper,,
9,1574881378-16055,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,"Mouth Sores, Issues Resolved",https://www.vaportalk.com/forum/topic/4619-mouth-sores-issues-resolved/,Mega Vaper,,
10,1574881422-16400,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Vaping Around Children,https://www.vaportalk.com/forum/topic/6707-vaping-around-children/,The Dead Vaping Kitty,,
11,1574881102-15229,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic Content In Vaping Juice Vs Nic Content From Smoking Cigs,https://www.vaportalk.com/forum/topic/1639-nic-content-in-vaping-juice-vs-nic-content-from-smoking-cigs/,,,"October 15, 2009"
12,1574881363-15906,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Went To The Doctor,https://www.vaportalk.com/forum/topic/3757-went-to-the-doctor/,,Thanks again everyone.  FYI - I'm 41.,
13,1574881102-15226,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic Content In Vaping Juice Vs Nic Content From Smoking Cigs,https://www.vaportalk.com/forum/topic/1639-nic-content-in-vaping-juice-vs-nic-content-from-smoking-cigs/,,"Love this thread.  Chris, I thought you were a scientist too the way everything was spelled out and then I saw the link.  I'm going to send the link to my hubby so he can figure it out himself, forget trying to explain that to him.  He wants to know, I just like vaping.

Thanks,",
14,1574881355-15832,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,It Burns!,https://www.vaportalk.com/forum/topic/3627-it-burns/,Vapor Talk Village Idiot,,
15,1574881768-16758,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Survey On The Effects Of Vaping,https://www.vaportalk.com/forum/topic/7770-survey-on-the-effects-of-vaping/,,well that didnt take to long. i posted that first post when i started it and now im finished!,
16,1574881679-16626,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Nicotine And Back Pain.,https://www.vaportalk.com/forum/topic/7588-nicotine-and-back-pain/,VT TROLL !,,
17,1574881393-16121,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,No Apparent Ill Effects After Nine Months,https://www.vaportalk.com/forum/topic/4887-no-apparent-ill-effects-after-nine-months/,Vapor Talk God Poster,,
18,1574881303-15420,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic. Inhaled Paralyzes Parts Of The Lungs,https://www.vaportalk.com/forum/topic/2299-nic-inhaled-paralyzes-parts-of-the-lungs/,The Veteran Vaper,,
19,1574881414-16325,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Nose Bleed,https://www.vaportalk.com/forum/topic/5721-nose-bleed/,,,"May 27, 2010"
20,1574881305-15460,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Lesser Addiction,https://www.vaportalk.com/forum/topic/2307-lesser-addiction/,,,"December 29, 2009"
21,1574881674-16580,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Hacking A Lung?,https://www.vaportalk.com/forum/topic/7479-hacking-a-lung/,Bazinga!,,
22,1574881336-15603,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,Supreme Vaper,,
23,1574881352-15813,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Is The Battery Charger Safe?,https://www.vaportalk.com/forum/topic/4050-is-the-battery-charger-safe/,E-Cig Supplier,,
24,1574881393-16123,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,No Apparent Ill Effects After Nine Months,https://www.vaportalk.com/forum/topic/4887-no-apparent-ill-effects-after-nine-months/,Vapor Talk God Poster,,
25,1574881424-16441,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Pg And Vg,https://www.vaportalk.com/forum/topic/6357-pg-and-vg/,Mega Vaper,,
26,1574881407-16219,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,American Lung Association Vs. Electronic Cigarettes,https://www.vaportalk.com/forum/topic/5076-american-lung-association-vs-electronic-cigarettes/,VT Member,,
27,1574881428-16484,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Kinda Weird!,https://www.vaportalk.com/forum/topic/5039-kinda-weird/,,"I undid the -1, that's just ridiculous. Maybe you're just not drinking enough water. I really kind of doubt vaping has much if anything to do with it. I sure haven't noticed any change I could attribute to vaping.",
28,1574881208-15346,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Check This Out! Interesting Page On The Effects Of Nicotine,https://www.vaportalk.com/forum/topic/2273-check-this-out-interesting-page-on-the-effects-of-nicotine/,VT Member,,
29,1574881768-16788,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Survey On The Effects Of Vaping,https://www.vaportalk.com/forum/topic/7770-survey-on-the-effects-of-vaping/,,,"September 14, 2010"
30,1574881336-15636,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,,"Well, it sounds a little harder to pass the test than I thought but if I really wanted the job then I could probably go 10 days on zero nicotine juice.",
31,1574881416-16347,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Migraines,https://www.vaportalk.com/forum/topic/4898-migraines/,VT Member,,
32,1574881363-15902,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Went To The Doctor,https://www.vaportalk.com/forum/topic/3757-went-to-the-doctor/,,"Hi Brian, I know you're probably kinda scared now because of the unknown. We are here for ya. Let us know how everything turns out.",
33,1574881109-15303,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Modern Marvels: Tobacco,https://www.vaportalk.com/forum/topic/2119-modern-marvels-tobacco/,Bazinga!,,
34,1574881358-15858,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Vaping And Drug Test?,https://www.vaportalk.com/forum/topic/3853-vaping-and-drug-test/,The Veteran Vaper,,
35,1574881303-15425,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic. Inhaled Paralyzes Parts Of The Lungs,https://www.vaportalk.com/forum/topic/2299-nic-inhaled-paralyzes-parts-of-the-lungs/,,"On 11/18/2009 at 10:28 PM, vapemudgeon said: 
What's that ?................. Oh, I'm sorry I couldn't see the screen through a big cloud of vapor !!!!

Copy, paste and text on !!!!!!!



""curtsey""  Thank you very much sir",
36,1574881593-16507,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,"Kinda Funny, But...",https://www.vaportalk.com/forum/topic/7341-kinda-funny-but/,Mega Vaper,,
